"id","session_id","rating","code_snapshot","created_at","voice_name","voice_type"
"1","e30f910a-f4ea-482e-aa9d-a028d60cae45","4","setcps(0.321)
$chord: chord(""<Ebm7 Abm7 Bbm7 Ebm7>"").voicing().slow(4).sound(""sawtooth"").lpf(sine.range(500,1200).slow(8)).gain(0.3).room(0.6).color(""magenta"")._pianoroll()
$kick: s(""bd ~ ~ bd ~ ~ bd ~"").bank(""RolandTR808"").gain(0.6).swing(0.15).lpf(2000).color(""cyan"")
$snare: s(""~ ~ sd ~ ~ sd ~ ~"").bank(""RolandTR808"").gain(0.45).swing(0.15).room(0.3).lpf(3500).color(""salmon"")
$melody: note(""<Eb4 ~ Gb4 ~> <Ab4 ~ C4 ~> <Bb4 ~ Db4 ~> <Eb4 ~ Db4 ~>"").slow(4).sound(""triangle"").lpf(1000).gain(0.25).swing(0.18).room(0.3).color(""orchid"")._scope()
$hat: s(""hh*8"").bank(""RolandTR808"").gain(rand.range(0.1,0.25)).degradeBy(0.15).lpf(3500).pan(sine.range(0.3,0.7).slow(4)).color(""gold"")","2026-02-28 20:22:43.245614+00",,
"2","e30f910a-f4ea-482e-aa9d-a028d60cae45","2","setcps(0.321)
$chord: chord(""<Ebm7 Abm7 Bbm7 Ebm7>"").voicing().slow(4).sound(""sawtooth"").lpf(sine.range(500,1200).slow(8)).gain(0.3).room(0.6).color(""magenta"")._pianoroll()
$kick: s(""bd ~ ~ bd ~ bd ~ ~"").bank(""RolandTR808"").gain(0.6).swing(0.15).lpf(2000).color(""cyan"")
$snare: s(""~ ~ sd ~ ~ sd ~ ~"").bank(""RolandTR808"").gain(0.45).swing(0.15).room(0.3).lpf(3500).pan(sine.range(0.4, 0.6).slow(6)).color(""salmon"")
$melody: note(""<Eb4 ~ Gb4 ~> <Ab4 ~ C4 ~> <Bb4 ~ Db4 ~> <Eb4 ~ Db4 ~>"").slow(4).sound(""triangle"").lpf(1000).gain(0.25).swing(0.18).room(0.3).color(""orchid"")._scope()
$hat: s(""hh*8"").bank(""RolandTR808"").gain(rand.range(0.1,0.25)).degradeBy(0.15).lpf(3500).pan(sine.range(0.3,0.7).slow(4)).swing(0.2).color(""gold"")","2026-02-28 20:26:09.299348+00",,
"3","e30f910a-f4ea-482e-aa9d-a028d60cae45","4","setcps(0.321)
$chord: chord(""<Ebm7 Abm7 Bbm7 Ebm7>"").voicing().slow(4).sound(""sine"").lpf(sine.range(500,1200).slow(8)).gain(0.3).room(0.6).color(""magenta"")._pianoroll()
$kick: s(""bd ~ ~ bd ~ bd ~ ~"").bank(""RolandTR808"").gain(0.6).swing(0.15).lpf(2000).color(""cyan"")
$snare: s(""~ ~ sd ~ ~ sd ~ ~"").bank(""RolandTR808"").gain(0.45).swing(0.15).room(0.3).lpf(3500).pan(sine.range(0.4, 0.6).slow(6)).color(""salmon"")
$melody: note(""<Eb4 ~ Gb4 ~> <Ab4 ~ C4 ~> <Bb4 ~ Db4 ~> <Eb4 ~ Db4 ~>"").slow(4).sound(""supersaw"").lpf(1000).gain(0.25).swing(0.18).room(0.3).pan(sine.range(0.2, 0.8).slow(10)).color(""orchid"")._scope()
$hat: s(""hh*8"").bank(""RolandTR808"").gain(rand.range(0.1,0.25)).degradeBy(0.15).lpf(3500).pan(sine.range(0.3,0.7).slow(4)).swing(0.2).color(""gold"")
$arp: n(""0 2 4 7 4 2"").scale(""Eb5:minor"").slow(2).sound(""sine"").attack(0.01).release(0.5).lpf(800).gain(0.18).room(0.4).swing(0.1).color(""steelblue"")","2026-02-28 20:28:32.378799+00",,
"4","e30f910a-f4ea-482e-aa9d-a028d60cae45","2","setcps(0.321)
$chord: chord(""<Ebm7 Abm7 Bbm7 Ebm7>"").voicing().slow(4).sound(""sine"").lpf(sine.range(500,1200).slow(8)).gain(0.3).room(0.6).color(""magenta"")._pianoroll()
$kick: s(""bd ~ ~ bd ~ bd ~ ~"").bank(""RolandTR808"").gain(0.6).swing(0.15).lpf(2000).color(""cyan"")
$snare: s(""~ ~ sd ~ ~ sd ~ ~"").bank(""RolandTR808"").gain(0.45).swing(0.15).room(0.3).lpf(3500).pan(sine.range(0.4, 0.6).slow(6)).color(""salmon"")
$melody: note(""<Eb4 ~ Gb4 ~> <Ab4 ~ C4 ~> <Bb4 ~ Db4 ~> <Eb4 ~ Db4 ~>"").slow(4).sound(""supersaw"").lpf(1000).gain(0.25).swing(0.18).room(0.3).pan(sine.range(0.2, 0.8).slow(10)).color(""orchid"")._scope()
$hat: s(""hh*8"").bank(""RolandTR808"").gain(rand.range(0.1,0.25)).degradeBy(0.15).lpf(3500).pan(sine.range(0.3,0.7).slow(4)).swing(0.2).color(""gold"")
$arp: n(""0 2 4 7 4 2"").scale(""Eb5:minor"").slow(1).sound(""sine"").attack(0.01).release(0.5).lpf(800).gain(0.18).room(0.4).swing(0.18).color(""steelblue"")","2026-02-28 20:29:07.92808+00",,
"5","e30f910a-f4ea-482e-aa9d-a028d60cae45","5","setcps(0.5125)
$kick: s(""bd:3"").beat(""0,4,8,12"",16).bank(""RolandTR909"").gain(0.7).lpf(sine.range(2000, 4000).slow(4)).color(""orange"")
$bass: note(""D2 D2 D2 D2 ~ D2 D2 ~"").sound(""square"").lpf(sine.range(200,800).slow(8)).gain(0.4).color(""cyan"")._pianoroll()
$hat: s(""hh:2"").beat(""2,6,10,14"",16).bank(""RolandTR909"").gain(0.25).hpf(5000).color(""lime"")","2026-02-28 20:31:13.648369+00",,
"6","e30f910a-f4ea-482e-aa9d-a028d60cae45","2","setcps(0.5125)
$kick: s(""bd:3"").beat(""0,4,8,12"",16).bank(""RolandTR909"").gain(0.7).lpf(sine.range(2000, 4000).slow(4)).color(""orange"")
$bass: note(""D2 D2 D2 D2 ~ D2 D2 ~"").sound(""square"").lpf(sine.range(200,800).slow(8)).gain(0.4).color(""cyan"")._pianoroll()
$hat: s(""hh:2"").beat(""2,6,10,14"",16).bank(""RolandTR909"").gain(0.25).hpf(5000).swing(0.05).color(""lime"")","2026-02-28 20:32:22.990931+00",,
"7","e30f910a-f4ea-482e-aa9d-a028d60cae45","4","setcps(0.5125)
$kick: s(""bd:3"").beat(""0,4,8,12"",16).bank(""RolandTR909"").gain(0.7).lpf(sine.range(2000, 4000).slow(4)).color(""orange"")
$bass: note(""D2 D2 D2 D2 ~ D2 D2 ~"").sound(""square"").lpf(sine.range(200,800).slow(8)).gain(0.4).color(""cyan"")._pianoroll()","2026-02-28 20:32:50.249085+00",,
"8","e30f910a-f4ea-482e-aa9d-a028d60cae45","5","setcps(0.5125)
$kick: s(""bd:3"").beat(""0,4,8,12"",16).bank(""RolandTR909"").gain(0.7).lpf(sine.range(2000, 4000).slow(4)).color(""orange"")
$bass: note(""D2 D2 D2 D2 ~ D2 D2 ~"").sound(""square"").lpf(sine.range(200,800).slow(8)).gain(0.4).color(""cyan"")._pianoroll()
$clap: s(""cp"").beat(""4,12"",16).bank(""RolandTR909"").gain(0.4).room(0.3).color(""magenta"")","2026-02-28 20:33:20.404557+00",,
"9","e30f910a-f4ea-482e-aa9d-a028d60cae45","5","setcps(0.5125)
$kick: s(""bd:3"").beat(""0,4,8,12"",16).bank(""RolandTR909"").gain(0.7).lpf(sine.range(2000, 4000).slow(4)).color(""orange"")
$bass: note(""D2 D2 D2 D2 ~ D2 D2 ~"").sound(""square"").lpf(sine.range(200,800).slow(8)).gain(0.45).color(""cyan"")._pianoroll()
$clap: s(""cp"").beat(""4,12"",16).bank(""RolandTR909"").gain(0.45).room(0.3).degradeBy(0.1).color(""magenta"")
$piano: note(""D3m"").beat(""1,5,9,13"",16).sound(""piano"").attack(0.01).release(0.1).lpf(sine.range(400, 1500).slow(4)).gain(0.22).room(0.2).color(""gold"")._pianoroll()","2026-02-28 20:35:39.468688+00",,
"10","e30f910a-f4ea-482e-aa9d-a028d60cae45","4","setcps(0.5125)
$kick: s(""bd:3"").beat(""0,4,8,12"",16).bank(""RolandTR909"").gain(0.7).lpf(sine.range(2000, 4000).slow(4)).color(""orange"")._scope()
$bass: note(""D2 D2 D2 D2 ~ D2 D2 ~"").sound(""square"").lpf(sine.range(200,800).slow(8)).gain(0.45).color(""cyan"")._pianoroll()
$clap: s(""cp"").beat(""4,12"",16).bank(""RolandTR909"").gain(0.45).room(0.3).degradeBy(0.1).color(""magenta"")
$piano: note(""D3m"").beat(""1,5,9,13"",16).degradeBy(0.2).sound(""piano"").attack(0.01).release(0.1).lpf(sine.range(400, 1500).slow(4)).gain(0.22).room(0.2).delay(0.2).delaytime(0.25).delayfeedback(0.6).color(""gold"")._pianoroll()
$hat: s(""hh"").beat(""2,6,10,14"",16).bank(""RolandTR909"").gain(0.2).hpf(6000).swing(0.05).color(""lime"")._spectrum()","2026-02-28 20:37:17.213302+00",,
